teacher_id,school_id,teacher_name,persona,teacher_availability_mask,preferred_time_window,consecutive_period_preference,subjects_taught,class_arm_eligibility,room_strictness,years_of_experience,employment_type,cds_blocked_day,min_rest_periods_required
TCH-00001,SCH-001,Obinna Garba,overworked_generalist,11111,scattered,5,Basic Technology|CRS|PHE,any,very_low,3,full_time_underpaid,,
TCH-00002,SCH-001,Adaeze Suleiman,hustling_subject_specialist,11000,08:00-11:00,2,Physics|Further Mathematics,senior_only,high,4,part_time_multi_school,,
TCH-00003,SCH-001,Aisha Okafor,overworked_generalist,11111,scattered,3,Basic Technology|CRS,any,very_low,8,full_time_underpaid,,
TCH-00004,SCH-001,Emeka Garba,nysc_corper,11110,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Friday,
TCH-00005,SCH-001,Oluwaseun Nwosu,veteran_staff_room_boss,11111,08:30-10:30,2,Physics|Biology,senior_only,absolute_priority,23,full_time_senior_staff,,2
TCH-00006,SCH-001,Musa Abubakar,nysc_corper,10111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00007,SCH-001,Ifeoma Balogun,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics|Physics,senior_only,absolute_priority,15,full_time_senior_staff,,2
TCH-00008,SCH-001,Emeka Eze,overworked_generalist,11111,scattered,3,PHE|CRS,any,very_low,7,full_time_underpaid,,
TCH-00009,SCH-001,Emeka Chukwu,nysc_corper,11110,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00010,SCH-001,Hauwa Mohammed,nysc_corper,01111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00011,SCH-001,Aisha Nwosu,overworked_generalist,11111,scattered,4,Basic Technology|CRS,any,very_low,8,full_time_underpaid,,
TCH-00012,SCH-001,Bashir Balogun,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics,senior_only,absolute_priority,28,full_time_senior_staff,,2
TCH-00013,SCH-001,Tunde Adebayo,overworked_generalist,11111,scattered,4,Basic Technology|CRS,any,very_low,3,full_time_underpaid,,
TCH-00014,SCH-002,Emeka Okoro,overworked_generalist,11111,scattered,4,PHE|Basic Technology,any,very_low,3,full_time_underpaid,,
TCH-00015,SCH-002,Adaeze Eze,veteran_staff_room_boss,11111,08:30-10:30,1,Physics,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00016,SCH-002,Tunde Balogun,nysc_corper,11011,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00017,SCH-002,Hauwa Mohammed,overworked_generalist,11111,scattered,3,Basic Technology|PHE|CRS,any,very_low,4,full_time_underpaid,,
TCH-00018,SCH-002,Musa Chukwu,nysc_corper,10111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
